Mã CN,Tên Chi Nhánh,Khu Vực,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ Nhật
CN001,Chi nhánh Ba Đình,Hà Nội,12500000,14200000,13800000,15600000,18900000,24500000,26800000
CN002,Chi nhánh Cầu Giấy,Hà Nội,18200000,19500000,17800000,21000000,25600000,31200000,34500000
CN003,Chi nhánh Đống Đa,Hà Nội,15400000,16200000,14900000,17800000,20500000,27800000,29600000
CN004,Chi nhánh Quận 1,TP.HCM,25600000,27800000,24900000,29500000,35600000,45200000,49800000
CN005,Chi nhánh Quận 3,TP.HCM,20100000,22400000,21500000,24800000,29800000,38500000,41200000
CN006,Chi nhánh Bình Thạnh,TP.HCM,16800000,18200000,17500000,19800000,23500000,30500000,33200000
CN007,Chi nhánh Hải Châu,Đà Nẵng,11200000,12800000,12100000,13900000,16800000,21500000,23900000
CN008,Chi nhánh Thanh Khê,Đà Nẵng,9800000,10500000,10200000,11800000,14200000,18600000,20100000
CN009,Chi nhánh Ninh Kiều,Cần Thơ,10500000,11800000,11200000,12900000,15400000,19800000,21500000
CN010,Chi nhánh Biên Hòa,Đồng Nai,13400000,14800000,14100000,16200000,19500000,25200000,27600000
